search_count,view_count,wishlist_count,cart_item_count,order_count,avg_order_value,total_spent,promo_keyword_count,membership_points,preferred_genre_count,persona,price_sensitivity,next_best_action,purchase_intent
17,31,7,4,0,108378.12097390607,0.0,13,0,2,deal_hunter,low,push_coupon,0.99
19,29,6,1,2,90193.0152641256,180386.0305282512,9,18,5,deal_hunter,low,push_coupon,0.9429
24,15,2,3,3,72838.9144157863,218516.7432473589,5,21,3,deal_hunter,low,push_coupon,0.9841
18,18,5,4,1,76375.53122416184,76375.53122416184,7,7,5,deal_hunter,low,push_coupon,0.99
20,25,2,4,2,91054.57001799525,182109.1400359905,8,18,5,deal_hunter,low,push_coupon,0.99
8,28,4,1,1,68136.86985323836,68136.86985323836,11,6,4,deal_hunter,low,push_coupon,0.99
12,15,8,3,2,46780.16221985956,93560.32443971912,6,9,2,deal_hunter,low,push_coupon,0.99
24,21,7,4,3,58123.05717405123,174369.1715221537,9,17,2,deal_hunter,low,push_coupon,0.9761
20,27,4,3,2,101432.63679778145,202865.2735955629,4,20,4,deal_hunter,low,push_coupon,0.9435
17,12,7,4,1,25873.249411598343,25873.249411598343,5,2,3,deal_hunter,low,push_coupon,0.99
20,39,4,2,3,96235.18196958717,288705.5459087615,5,28,2,deal_hunter,low,push_coupon,0.99
17,20,9,4,3,90295.68473924819,270887.05421774456,9,27,5,deal_hunter,low,push_coupon,0.9798
6,31,3,2,1,77252.94026160955,77252.94026160955,10,7,2,deal_hunter,low,push_coupon,0.99
13,27,3,2,3,91598.67683458568,274796.03050375707,13,27,3,deal_hunter,low,push_coupon,0.9581
16,31,5,2,1,45560.97460906799,45560.97460906799,5,4,5,deal_hunter,low,push_coupon,0.99
9,15,4,3,0,116412.65194411442,0.0,7,0,2,deal_hunter,low,push_coupon,0.9392
21,37,4,1,0,70036.1515313126,0.0,7,0,3,deal_hunter,low,push_coupon,0.99
12,18,6,3,0,73496.81193992491,0.0,11,0,4,deal_hunter,low,push_coupon,0.99
15,30,5,3,1,112308.6054635719,112308.6054635719,8,11,2,deal_hunter,low,push_coupon,0.99
9,22,6,4,0,73125.4265692429,0.0,11,0,4,deal_hunter,low,push_coupon,0.99
24,13,9,1,3,83685.10444809106,251055.3133442732,11,25,2,deal_hunter,low,push_coupon,0.9805
21,31,9,3,3,71248.53386031742,213745.60158095224,11,21,3,deal_hunter,low,push_coupon,0.9
20,28,5,3,1,102438.22138148251,102438.22138148251,10,10,5,deal_hunter,low,push_coupon,0.9899
6,32,3,1,0,33651.434995849995,0.0,13,0,5,deal_hunter,low,push_coupon,0.99
16,10,8,3,2,98362.92450415666,196725.84900831332,14,19,5,deal_hunter,low,push_coupon,0.99
15,31,7,4,1,91914.95813423433,91914.95813423433,11,9,5,deal_hunter,low,push_coupon,0.99
10,32,8,4,3,59922.74832764971,179768.2449829491,14,17,3,deal_hunter,low,push_coupon,0.99
19,17,6,3,2,109604.59737942615,219209.1947588523,4,21,4,deal_hunter,low,push_coupon,0.99
21,36,9,2,0,73862.63374879403,0.0,11,0,4,deal_hunter,low,push_coupon,0.99
16,28,8,1,3,93920.09573296401,281760.28719889204,9,28,4,deal_hunter,low,push_coupon,0.9611
16,20,3,1,1,89778.2002351561,89778.2002351561,6,8,2,deal_hunter,low,push_coupon,0.912
11,11,9,3,0,110932.22821527149,0.0,14,0,4,deal_hunter,low,push_coupon,0.99
10,30,7,3,0,72923.39924865174,0.0,11,0,5,deal_hunter,low,push_coupon,0.99
16,29,2,4,1,115368.50657027692,115368.50657027692,14,11,3,deal_hunter,low,push_coupon,0.947
15,26,4,3,3,74719.91015464408,224159.73046393224,8,22,5,deal_hunter,low,push_coupon,0.99
19,37,7,4,2,78103.82881220023,156207.65762440045,14,15,4,deal_hunter,low,push_coupon,0.99
19,39,5,1,3,56917.02128826144,170751.06386478432,10,17,2,deal_hunter,low,push_coupon,0.9688
14,17,4,4,2,44757.63975054912,89515.27950109824,6,8,5,deal_hunter,low,push_coupon,0.9603
10,20,4,1,3,72491.99672049533,217475.99016148597,10,21,4,deal_hunter,low,push_coupon,0.99
6,37,6,1,2,69972.2049172997,139944.4098345994,9,13,4,deal_hunter,low,push_coupon,0.9887
21,27,7,4,3,110402.12244833741,331206.36734501226,7,33,5,deal_hunter,low,push_coupon,0.9705
24,18,6,4,0,92231.58730041613,0.0,13,0,2,deal_hunter,low,push_coupon,0.9569
20,33,2,3,2,95558.68440055086,191117.36880110172,14,19,4,deal_hunter,low,push_coupon,0.99
10,21,8,4,1,80999.5194941319,80999.5194941319,6,8,4,deal_hunter,low,push_coupon,0.99
21,11,2,1,2,78899.44067219408,157798.88134438815,4,15,2,deal_hunter,low,push_coupon,0.99
10,32,9,2,2,59888.961182101586,119777.92236420317,5,11,5,deal_hunter,low,push_coupon,0.9881
22,32,6,2,3,40414.950466324444,121244.85139897333,13,12,3,deal_hunter,low,push_coupon,0.99
19,12,9,3,2,75267.88951103341,150535.77902206682,4,15,5,deal_hunter,low,push_coupon,0.99
19,23,8,4,0,80287.79386304464,0.0,4,0,4,deal_hunter,low,push_coupon,0.99
15,26,2,4,3,77929.82703140548,233789.48109421646,8,23,4,deal_hunter,low,push_coupon,0.99
19,17,8,4,2,73445.15166666472,146890.30333332944,8,14,4,deal_hunter,low,push_coupon,0.99
5,11,6,3,3,18742.637536513852,56227.912609541556,12,5,3,deal_hunter,low,push_coupon,0.99
23,24,6,1,0,117746.81892511893,0.0,9,0,2,deal_hunter,low,push_coupon,0.99
10,29,6,4,3,80228.49030722625,240685.47092167876,10,24,2,deal_hunter,low,push_coupon,0.9756
10,16,5,1,2,79782.72506603609,159565.45013207218,5,15,2,deal_hunter,low,push_coupon,0.9215
